id,title,short_title,repository,program,nci_program,cancer_types,primary_sites,subjects,subject_scope,modalities,n_cases,n_samples,access_tier,has_followup,median_followup_months,has_treatment_response,n_verified_reuse,n_citations_to_primary_publication,reuse_gap_index,is_underexplored,is_showcase,review_status,landing_page_url
cbio-lusc-cptac-2021,"Lung Squamous Cell Carcinoma (CPTAC, Cell 2021)",lusc_cptac_2021,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Lung Squamous Cell Carcinoma,nsclc,LUNG,single,mirna; rna_seq; targeted_dna,108,80,open,,,False,,350,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=lusc_cptac_2021
cbio-usarc-msk-2020,"Uterine Sarcoma/Mesenchymal (MSK, Clin Cancer Res 2020)",usarc_msk_2020,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Uterine Sarcoma/Mesenchymal,uterus,UTERUS,single,copy_number; structural_variant; targeted_dna,107,108,open,True,37.8,False,,97,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=usarc_msk_2020
cbio-braf-msk-archer-2024,"BRAF Fusions - ARCHER Clinical Sequencing Cohort (MSK, Clin Cancer Res 2024)",braf_msk_archer_2024,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Mixed Cancer Types,other,,pan_cancer,structural_variant,107,107,open,,,False,,10,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=braf_msk_archer_2024
pdc-cgu-oscc-apobec3a-multiple-phosphoproteome,CGU OSCC APOBEC3A - Multiple Phosphoproteome,PDC000521,PDC,International Cancer Proteogenome Consortium,International Cancer Proteogenome Consortium,Oral Squamous Cell Carcinoma,Other and unspecified parts of mouth; Other and unspecified parts of tongue; Gum; Floor of mouth; Accessory sinuses; Lip,HEAD_NECK,single,phosphoproteome,107,,open,True,33.5,False,0,,,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000521
pdc-cgu-oscc-apobec3a-global-phosphoproteome,CGU OSCC APOBEC3A - Global Phosphoproteome,PDC000520,PDC,International Cancer Proteogenome Consortium,International Cancer Proteogenome Consortium,Oral Squamous Cell Carcinoma,Other and unspecified parts of mouth; Other and unspecified parts of tongue; Gum; Floor of mouth; Lip; Accessory sinuses,HEAD_NECK,single,phosphoproteome,107,,open,True,33.5,False,0,,,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000520
pdc-cgu-oscc-apobec3a,CGU OSCC APOBEC3A,PDC000519,PDC,International Cancer Proteogenome Consortium,International Cancer Proteogenome Consortium,Oral Squamous Cell Carcinoma,Other and unspecified parts of mouth; Other and unspecified parts of tongue; Gum; Floor of mouth; Accessory sinuses; Lip,HEAD_NECK,single,proteome,107,,open,True,33.5,False,1,0,2.559,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000519
pdc-ncc-icc,NCC iCC,PDC000363,PDC,International Cancer Proteogenome Consortium,International Cancer Proteogenome Consortium,Cholangiocarcinoma; Hepatocellular Carcinoma,Liver and intrahepatic bile ducts,BILIARY_TRACT; LIVER,several,phosphoproteome; proteome,106,,open,True,21.0,False,2,,0.524,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000363
cbio-gbm-mayo-pdx-sarkaria-2019,"Brain Tumor PDXs (Mayo Clinic, Clin Cancer Res 2020)",gbm_mayo_pdx_sarkaria_2019,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Diffuse Glioma,brain,BRAIN,single,copy_number; rna_seq; targeted_dna,105,106,open,True,17.5,False,,205,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=gbm_mayo_pdx_sarkaria_2019
cbio-blca-nmibc-2017,Nonmuscle Invasive Bladder Cancer (MSK Eur Urol 2017),blca_nmibc_2017,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Bladder Urothelial Carcinoma,bladder,BLADDER,single,copy_number; structural_variant; targeted_dna,105,105,open,,,False,,296,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=blca_nmibc_2017
cbio-braf-msk-impact-2024,"BRAF Fusions - IMPACT Clinical Sequencing Cohort (MSK, Clin Cancer Res 2024)",braf_msk_impact_2024,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Mixed Cancer Types,other,,pan_cancer,copy_number; structural_variant; targeted_dna,105,105,open,,,False,,10,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=braf_msk_impact_2024
idc-covid-19-ar,COVID-19-AR,covid_19_ar,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,COVID-19 (non-cancer),Lung,LUNG,single,clinical; radiology; wgs,105,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=covid_19_ar
idc-hcc-tace-seg,HCC-TACE-Seg,hcc_tace_seg,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Hepatocellular carcinoma,Liver,LIVER,single,clinical; radiology,105,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=hcc_tace_seg
cbio-prad-mskcc-2014,"Prostate Adenocarcinoma (MSK, PNAS 2014)",prad_mskcc_2014,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Prostate Adenocarcinoma,prostate,PROSTATE,single,copy_number,104,104,open,True,70.1,False,,301,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=prad_mskcc_2014
cbio-brca-broad,"Breast Invasive Carcinoma (Broad, Nature 2012)",brca_broad,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Invasive Breast Carcinoma,breast,BREAST,single,targeted_dna,103,103,open,,,False,,941,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=brca_broad
cbio-acyc-mda-2015,"Adenoid Cystic Carcinoma (MDA, Clin Cancer Res 2015)",acyc_mda_2015,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Adenoid Cystic Carcinoma,saca,HEAD_NECK,single,structural_variant; targeted_dna,102,102,open,,,False,,171,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=acyc_mda_2015
pdc-prospective-colon-pnnl-phosphoproteome-lumos,Prospective Colon PNNL Phosphoproteome Lumos,PDC000117,PDC,Clinical Proteomic Tumor Analysis Consortium,Clinical Proteomic Tumor Analysis Consortium,Colon Adenocarcinoma,Colon,BOWEL,single,phosphoproteome,102,,open,True,0.0,False,2,15,-0.326,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000117
pdc-prospective-colon-pnnl-proteome-qeplus,Prospective Colon PNNL Proteome Qeplus,PDC000116,PDC,Clinical Proteomic Tumor Analysis Consortium,Clinical Proteomic Tumor Analysis Consortium,,,BOWEL,title_derived,proteome,102,,open,,,,19,,1.756,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000116
cbio-gbc-msk-2018,"Gallbladder Cancer (MSK, Cancer 2018)",gbc_msk_2018,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Gallbladder Cancer,icpn,BILIARY_TRACT,single,copy_number; structural_variant; targeted_dna,101,103,open,,,False,,40,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=gbc_msk_2018
gdc-wcdt-mcrpc,Genomic Characterization of Metastatic Castration Resistant Prostate Cancer,WCDT-MCRPC,GDC,WCDT,WCDT,Adenomas and Adenocarcinomas,Prostate gland,PROSTATE,single,copy_number; rna_seq; structural_variant; wgs,101,,mixed,True,95.2,False,27,1206,1.414,False,True,project_curated,https://portal.gdc.cancer.gov/projects/WCDT-MCRPC
pdc-apollo-luad-phosphoproteome-fenta,APOLLO LUAD - Phosphoproteome - FeNTA,PDC000436,PDC,Applied Proteogenomics OrganizationaL Learning and Outcomes (APOLLO),Applied Proteogenomics OrganizationaL Learning and Outcomes (APOLLO),Lung Adenocarcinoma,Bronchus and lung,LUNG,single,phosphoproteome,101,,open,True,50.4,False,0,,,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000436
pdc-apollo-luad-phosphoproteome-tio2,APOLLO LUAD - Phosphoproteome - TiO2,PDC000435,PDC,Applied Proteogenomics OrganizationaL Learning and Outcomes (APOLLO),Applied Proteogenomics OrganizationaL Learning and Outcomes (APOLLO),Lung Adenocarcinoma,Bronchus and lung,LUNG,single,phosphoproteome,101,,open,True,50.4,False,0,,,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000435
pdc-apollo-luad,APOLLO LUAD,PDC000434,PDC,Applied Proteogenomics OrganizationaL Learning and Outcomes (APOLLO),Applied Proteogenomics OrganizationaL Learning and Outcomes (APOLLO),Lung Adenocarcinoma,Bronchus and lung,LUNG,single,proteome,101,,open,True,50.4,False,0,,,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000434
cbio-brca-sanger,"Breast Invasive Carcinoma (Sanger, Nature 2012)",brca_sanger,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Invasive Breast Carcinoma,breast,BREAST,single,targeted_dna,100,100,open,,,False,,1329,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=brca_sanger
pdc-prospective-colon-vu-proteome,Prospective Colon VU Proteome,PDC000109,PDC,Clinical Proteomic Tumor Analysis Consortium,Clinical Proteomic Tumor Analysis Consortium,Colon Adenocarcinoma,Colon,BOWEL,single,proteome,100,,open,True,0.0,False,3,25,2.007,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000109
cbio-gbm-cptac-2021,"Glioblastoma (CPTAC, Cell 2021)",gbm_cptac_2021,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Diffuse Glioma,brain,BRAIN,single,copy_number; mirna; proteome; rna_seq; targeted_dna,99,99,open,,,False,,574,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=gbm_cptac_2021
cbio-paad-icgc,"Pancreatic Adenocarcinoma (ICGC, Nature 2012)",paad_icgc,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Pancreatic Adenocarcinoma,pancreas,PANCREAS,single,targeted_dna,99,99,open,,,False,,1699,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=paad_icgc
pdc-cptac-kf-ccdi-pediatric-aml-study,CPTAC-KF-CCDI-Pediatric AML Study,PDC000602,PDC,CPTAC-Kids First-Childhood Cancer Data Initiative,CPTAC-Kids First-Childhood Cancer Data Initiative,Acute Myeloid Leukemia,Bone Marrow; Blood,MYELOID,single,phosphoproteome; proteome,99,,open,,,False,0,,,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000602
pdc-cptac-kf-ccdi-pediatric-brain-cancer-study-ependymoma-phosphoproteome,CPTAC-KF-CCDI-Pediatric Brain Cancer Study - Ependymoma Phosphoproteome,PDC000647,PDC,CPTAC-Kids First-Childhood Cancer Data Initiative,CPTAC-Kids First-Childhood Cancer Data Initiative,Pediatric/AYA Brain Tumors,"Brain; Spinal cord, cranial nerves, and other parts of central nervous system",BRAIN,single,phosphoproteome,98,,open,True,32.5,False,0,,,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000647
pdc-cptac-kf-ccdi-pediatric-brain-cancer-study-ependymoma-phosphotyrosine,CPTAC-KF-CCDI-Pediatric Brain Cancer Study - Ependymoma Phosphotyrosine,PDC000651,PDC,CPTAC-Kids First-Childhood Cancer Data Initiative,CPTAC-Kids First-Childhood Cancer Data Initiative,Pediatric/AYA Brain Tumors,"Brain; Spinal cord, cranial nerves, and other parts of central nervous system",BRAIN,single,phosphoproteome,98,,open,True,32.5,False,0,,,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000651
pdc-cptac-kf-ccdi-pediatric-brain-cancer-study-ependymoma-proteome,CPTAC-KF-CCDI-Pediatric Brain Cancer Study - Ependymoma Proteome,PDC000646,PDC,CPTAC-Kids First-Childhood Cancer Data Initiative,CPTAC-Kids First-Childhood Cancer Data Initiative,Pediatric/AYA Brain Tumors,"Brain; Spinal cord, cranial nerves, and other parts of central nervous system",BRAIN,single,proteome,98,,open,True,32.5,False,0,,,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000646
cbio-blca-mskcc-solit-2012,"Bladder Cancer (MSK, J Clin Onco 2013)",blca_mskcc_solit_2012,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Bladder Urothelial Carcinoma,bladder,BLADDER,single,copy_number; methylation; rna_seq; targeted_dna,97,97,open,True,11.6,False,,236,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=blca_mskcc_solit_2012
pdc-prospective-ovarian-jhu-intact-glycoproteome,Prospective Ovarian JHU Intact Glycoproteome,PDC000250,PDC,Clinical Proteomic Tumor Analysis Consortium,Clinical Proteomic Tumor Analysis Consortium,Ovarian Serous Cystadenocarcinoma,Ovary,OVARY,single,glycoproteome,97,,open,True,0.0,False,1,11,1.022,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000250
pdc-prospective-ovarian-jhu-n-linked-glycosite-containing-peptide,Prospective Ovarian JHU N-linked Glycosite-containing peptide,PDC000251,PDC,Clinical Proteomic Tumor Analysis Consortium,Clinical Proteomic Tumor Analysis Consortium,Ovarian Serous Cystadenocarcinoma,Ovary,OVARY,single,glycoproteome,97,,open,True,0.0,False,1,,1.022,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000251
pdc-prospective-ovarian-jhu-proteome,Prospective Ovarian JHU Proteome,PDC000110,PDC,Clinical Proteomic Tumor Analysis Consortium,Clinical Proteomic Tumor Analysis Consortium,Ovarian Serous Cystadenocarcinoma,Ovary,OVARY,single,proteome,97,,open,True,0.0,False,15,,1.458,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000110
cbio-past-dkfz-heidelberg-2013,"Pilocytic Astrocytoma (ICGC, Nature Genetics 2013)",past_dkfz_heidelberg_2013,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Pilocytic Astrocytoma,encg,BRAIN,single,structural_variant; targeted_dna,96,96,open,True,11.0,False,,635,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=past_dkfz_heidelberg_2013
cbio-ucec-cptac-2020,"Endometrial Carcinoma (CPTAC, Cell 2020)",ucec_cptac_2020,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Endometrial Carcinoma,uterus,UTERUS,single,copy_number; mirna; rna_seq; targeted_dna,95,81,open,,,False,,408,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=ucec_cptac_2020
idc-cc-radiomics-phantom-3,CC-Radiomics-Phantom-3,cc_radiomics_phantom_3,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Phantom,Head; Chest; Phantom,,non_cancer,radiology,95,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=cc_radiomics_phantom_3
idc-cptac-cm,CPTAC-CM,cptac_cm,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Cutaneous Melanoma,Skin,SKIN,single,clinical; radiology,95,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=cptac_cm
pdc-prospective-ovarian-pnnl-phosphoproteome-lumos,Prospective Ovarian PNNL Phosphoproteome Lumos,PDC000119,PDC,Clinical Proteomic Tumor Analysis Consortium,Clinical Proteomic Tumor Analysis Consortium,Ovarian Serous Cystadenocarcinoma,Ovary,OVARY,single,phosphoproteome,95,,open,True,0.0,False,1,,1.032,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000119
pdc-prospective-ovarian-pnnl-proteome-qeplus,Prospective Ovarian PNNL Proteome Qeplus,PDC000118,PDC,Clinical Proteomic Tumor Analysis Consortium,Clinical Proteomic Tumor Analysis Consortium,Ovarian Serous Cystadenocarcinoma,Ovary,OVARY,single,proteome,95,,open,True,0.0,False,3,,0.123,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000118
cbio-ptad-msk-2024,"Pituitary Adenoma (MSK, Acta Neuropathologica 2024)",ptad_msk_2024,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Pituitary Adenoma,selt,BRAIN,single,copy_number; structural_variant; targeted_dna; treatment,92,104,open,True,54.7,False,,29,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=ptad_msk_2024
cbio-mbl-broad-2012,"Medulloblastoma (Broad, Nature 2012)",mbl_broad_2012,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Medulloblastoma,embt,BRAIN,single,targeted_dna,92,92,open,,,False,,631,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=mbl_broad_2012
gdc-tcga-acc,Adrenocortical Carcinoma,TCGA-ACC,GDC,TCGA,TCGA,Adenomas and Adenocarcinomas,Adrenal Glands; Adrenal gland,ADRENAL_GLAND,single,atac_seq; clinical; copy_number; histopathology; methylation; mirna; protein_array; radiology; rna_seq; structural_variant; wgs; wxs,92,,mixed,True,38.8,True,395,,0.59,False,False,machine_only,https://portal.gdc.cancer.gov/projects/TCGA-ACC
idc-prostate-diagnosis,PROSTATE-DIAGNOSIS,prostate_diagnosis,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Prostate Cancer,Prostate,PROSTATE,single,clinical; radiology,92,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=prostate_diagnosis
idc-cptac-aml,CPTAC-AML,cptac_aml,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Acute Myeloid Leukemia,Marrow; Blood,MYELOID,single,clinical; radiology,91,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=cptac_aml
pdc-tcga-colon-cancer-proteome,TCGA Colon Cancer Proteome,PDC000111,PDC,Clinical Proteomic Tumor Analysis Consortium,Clinical Proteomic Tumor Analysis Consortium,Colon Adenocarcinoma; Rectum Adenocarcinoma,Colon; Rectum,BOWEL,single,proteome,90,,open,True,19.0,False,5,,0.079,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000111
pdc-kncc-medulloblastoma-kbri,KNCC Medulloblastoma - KBRI,PDC000525,PDC,International Cancer Proteogenome Consortium,International Cancer Proteogenome Consortium,Pediatric/AYA Brain Tumors,Brain,BRAIN,single,phosphoproteome; proteome,90,,open,True,43.9,False,0,,0.602,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000525
idc-nsclc-radiomics-genomics,NSCLC-Radiomics-Genomics,nsclc_radiomics_genomics,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Lung Cancer,Lung,LUNG,single,clinical; radiology; rna_seq; wgs,89,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=nsclc_radiomics_genomics
pdc-hope-aya-gbm,HOPE-AYA GBM,PDC000499,PDC,Pediatric Brain Tumor Atlas - CBTN,Pediatric Brain Tumor Atlas - CBTN,Pediatric/AYA Brain Tumors; Gliomas,Brain,BRAIN,single,glycoproteome; phosphoproteome; proteome,89,,open,True,26.8,False,0,,,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000499
idc-breast-diagnosis,BREAST-DIAGNOSIS,breast_diagnosis,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Breast Cancer,Breast,BREAST,single,clinical; radiology,88,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=breast_diagnosis
idc-cptac-sar,CPTAC-SAR,cptac_sar,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Sarcomas,Abdomen; Arm; Bladder; Chest; Head-Neck; Kidney; Leg; Retroperitoneum,SOFT_TISSUE,single,clinical; radiology,88,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=cptac_sar
gdc-tcga-meso,Mesothelioma,TCGA-MESO,GDC,TCGA,TCGA,Mesothelial Neoplasms,"Bronchus and lung; Heart, mediastinum, and pleura; Mesothelium",PLEURA,single,atac_seq; clinical; copy_number; histopathology; methylation; mirna; protein_array; radiology; rna_seq; structural_variant; wgs; wxs,87,,mixed,True,17.3,True,395,,0.617,False,False,machine_only,https://portal.gdc.cancer.gov/projects/TCGA-MESO
gdc-apollo-luad,APOLLO1: Proteogenomic characterization of lung adenocarcinoma,APOLLO-LUAD,GDC,APOLLO,APOLLO,Adenomas and Adenocarcinomas,Bronchus and lung,LUNG,single,copy_number; rna_seq; structural_variant; wgs,87,,mixed,True,50.4,False,3,73,0.135,False,False,machine_only,https://portal.gdc.cancer.gov/projects/APOLLO-LUAD
cbio-all-stjude-2015,"Acute Lymphoblastic Leukemia (St Jude, Nat Genet 2015)",all_stjude_2015,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,B-Lymphoblastic Leukemia/Lymphoma,lnm,LYMPH,single,structural_variant; targeted_dna,85,93,open,,,False,,410,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=all_stjude_2015
pdc-tcga-ovarian-pnnl-proteome,TCGA Ovarian PNNL Proteome,PDC000114,PDC,Clinical Proteomic Tumor Analysis Consortium,Clinical Proteomic Tumor Analysis Consortium,Ovarian Serous Cystadenocarcinoma,Ovary,OVARY,single,proteome,85,,open,True,42.0,False,7,29,0.522,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000114
gdc-exceptional_responders-er,Exceptional Responders,EXCEPTIONAL_RESPONDERS-ER,GDC,EXCEPTIONAL_RESPONDERS,EXCEPTIONAL_RESPONDERS,"Neoplasms, NOS; Complex Mixed and Stromal Neoplasms; Adenomas and Adenocarcinomas; Gliomas; Myomatous Neoplasms; Nevi and Melanomas; Epithelial Neoplasms, NOS; Ductal and Lobular Neoplasms","Esophagus; Stomach; Skin; Unknown; Bladder; Connective, subcutaneous and other soft tissues; Breast; Pancreas",,pan_cancer,clinical; rna_seq; structural_variant; targeted_dna; wxs,84,,mixed,True,64.2,True,2,85,-1.769,True,False,machine_only,https://portal.gdc.cancer.gov/projects/EXCEPTIONAL_RESPONDERS-ER
pdc-cptac-kf-ccdi-pediatric-brain-cancer-study-ganglioglioma-cpc-cpp-phosp,CPTAC-KF-CCDI-Pediatric Brain Cancer Study - Ganglioglioma-CPC-CPP Phosphoproteome,PDC000701,PDC,CPTAC-Kids First-Childhood Cancer Data Initiative,CPTAC-Kids First-Childhood Cancer Data Initiative,Gliomas; Pediatric/AYA Brain Tumors,Brain,BRAIN,single,phosphoproteome,84,,open,,,False,0,,,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000701
pdc-cptac-kf-ccdi-pediatric-brain-cancer-study-ganglioglioma-cpc-cpp-phosp-pdc000704,CPTAC-KF-CCDI-Pediatric Brain Cancer Study - Ganglioglioma-CPC-CPP Phosphotyrosine,PDC000704,PDC,CPTAC-Kids First-Childhood Cancer Data Initiative,CPTAC-Kids First-Childhood Cancer Data Initiative,Gliomas; Pediatric/AYA Brain Tumors,Brain,BRAIN,single,phosphoproteome,84,,open,,,False,0,,,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000704
pdc-cptac-kf-ccdi-pediatric-brain-cancer-study-ganglioglioma-cpc-cpp-prote,CPTAC-KF-CCDI-Pediatric Brain Cancer Study - Ganglioglioma-CPC-CPP Proteome,PDC000700,PDC,CPTAC-Kids First-Childhood Cancer Data Initiative,CPTAC-Kids First-Childhood Cancer Data Initiative,Gliomas; Pediatric/AYA Brain Tumors,Brain,BRAIN,single,proteome,84,,open,,,False,0,,,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000700
cbio-utuc-mskcc-2015,"Upper Tract Urothelial Cancer (MSK, Eur Urol 2015)",utuc_mskcc_2015,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Upper Tract Urothelial Carcinoma,bladder,BLADDER,single,copy_number; targeted_dna,83,85,open,True,33.0,False,,221,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=utuc_mskcc_2015
cbio-cscc-ucsf-2021,"Cutaneous Squamous Cell Carcinoma (UCSF, NPJ Genom Med 2021)",cscc_ucsf_2021,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Cutaneous Squamous Cell Carcinoma,skin,SKIN,single,targeted_dna,83,83,open,,,False,,123,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=cscc_ucsf_2021
idc-acrin-flt-breast,ACRIN-FLT-Breast,acrin_flt_breast,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Breast Cancer,Breast,BREAST,single,clinical; radiology,83,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=acrin_flt_breast
cbio-prad-broad-2013,"Prostate Adenocarcinoma (Broad/Cornell, Cell 2013)",prad_broad_2013,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Prostate Adenocarcinoma,prostate,PROSTATE,single,copy_number; structural_variant; targeted_dna,82,82,open,,,False,,1054,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=prad_broad_2013
cbio-sarcoma-msk-2023,"Sarcoma (MSK, J Pathol 2023)",sarcoma_msk_2023,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Mixed Cancer Types,other,,pan_cancer,copy_number; structural_variant; targeted_dna,82,82,open,True,15.6,False,,16,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=sarcoma_msk_2023
cbio-nepc-wcm-2016,"Neuroendocrine Prostate Cancer (Multi-Institute, Nat Med 2016)",nepc_wcm_2016,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Prostate Adenocarcinoma,prostate,PROSTATE,single,targeted_dna,81,114,open,,,False,,1452,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=nepc_wcm_2016
cbio-rbl-mskcc-2020,"Retinoblastoma (MSK, Cancers 2021)",rbl_mskcc_2020,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Retinoblastoma,eye,EYE,single,copy_number; structural_variant; targeted_dna,81,83,open,,,False,,40,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=rbl_mskcc_2020
cbio-panet-msk-2018,"Metastatic Pancreatic Neuroendocrine Tumor (MSK, JCO Precis Oncol 2018)",panet_msk_2018,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Pancreatic Neuroendocrine Tumor,pancreas,PANCREAS,single,copy_number; targeted_dna,80,96,open,True,39.2,False,,58,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=panet_msk_2018
cbio-sclc-jhu,"Small Cell Lung Cancer (Johns Hopkins, Nat Genet 2012)",sclc_jhu,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Small Cell Lung Cancer,lnet,LUNG,single,structural_variant; targeted_dna,80,80,open,,,False,,874,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=sclc_jhu
gdc-tcga-uvm,Uveal Melanoma,TCGA-UVM,GDC,TCGA,TCGA,Nevi and Melanomas; Paragangliomas and Glomus Tumors,Eye and adnexa; Intraocular,EYE,single,clinical; copy_number; histopathology; methylation; mirna; protein_array; radiology; rna_seq; structural_variant; wgs; wxs,80,,mixed,True,28.1,True,395,,0.863,False,False,machine_only,https://portal.gdc.cancer.gov/projects/TCGA-UVM
idc-icdc-glioma,ICDC-Glioma,icdc_glioma,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Glioma,Head,BRAIN,single,radiology; wgs,80,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=icdc_glioma
idc-pancreas-ct,Pancreas-CT,pancreas_ct,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Healthy Controls (non-cancer),Pancreas,PANCREAS,single,radiology,80,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=pancreas_ct
